2025-11-06T10:38:25.191772839Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - 📊 Pipeline診斷報告（已掃描200個交易對）
2025-11-06T10:38:25.191774583Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          優先級2(H1+M15)=25
2025-11-06T10:38:25.191780286Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - ================================================================================
2025-11-06T10:38:25.191786281Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - Stage0 - 總掃描數: 200
2025-11-06T10:38:25.191791630Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - Stage1 - 數據驗證: 有效=200, 拒絕=0
2025-11-06T10:38:25.191797277Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          拒絕率: 0.0%
2025-11-06T10:38:25.191802901Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - Stage2 - 趨勢判斷: 成功=200
2025-11-06T10:38:25.191809996Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - Stage3 - 信號方向:
2025-11-06T10:38:25.192774662Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          優先級3(趨勢初期)=12
2025-11-06T10:38:25.192780625Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          優先級4(H1主導-寬鬆)=28
2025-11-06T10:38:25.192785422Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          優先級5(M15+M5-寬鬆)=46
2025-11-06T10:38:25.192790484Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - Stage4 - ADX過濾（v3.18.10+ 3層懲罰機制）:
2025-11-06T10:38:25.192795497Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          ADX<10(硬拒絕)=0
2025-11-06T10:38:25.192800703Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          ADX 10-15(強懲罰×0.6)=0
2025-11-06T10:38:25.192806344Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          ADX 15-20(中懲罰×0.8)=0
2025-11-06T10:38:25.192809119Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          ADX≥20(通過)=145
2025-11-06T10:38:25.192820782Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO - ADX分布:
2025-11-06T10:38:25.192829136Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          <10: 0
2025-11-06T10:38:25.192835244Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          10-15: 0
2025-11-06T10:38:25.192842559Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          15-20: 0
2025-11-06T10:38:25.192850028Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          20-25: 0
2025-11-06T10:38:25.192856358Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          ≥25: 145
2025-11-06T10:38:25.193569704Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          🔥 ADX<10占比: 0.0% ← 硬拒絕
2025-11-06T10:38:25.193575414Z [inf]  2025-11-06 10:38:21,949 - src.strategies.rule_based_signal_generator - INFO -          🔥 ADX<15占比: 0.0% ← 包含強懲罰區間
