2025-11-24T05:13:33.863096996Z [err]  2025-11-24 05:12:32,074 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.865089963Z [err]  2025-11-24 05:12:32,074 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.867492244Z [err]  2025-11-24 05:12:32,075 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.869868367Z [err]  2025-11-24 05:12:32,075 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.872219255Z [err]  2025-11-24 05:12:32,076 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.875402578Z [err]  2025-11-24 05:12:32,076 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.875413079Z [err]  2025-11-24 05:12:32,076 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.879138337Z [err]  2025-11-24 05:12:32,077 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.879146866Z [err]  2025-11-24 05:12:32,077 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.884197235Z [err]  2025-11-24 05:12:32,078 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.884209906Z [err]  2025-11-24 05:12:32,078 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.886918833Z [err]  2025-11-24 05:12:32,078 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.886983405Z [err]  2025-11-24 05:13:11,882 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.890663539Z [err]  2025-11-24 05:12:32,079 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.893715611Z [err]  2025-11-24 05:12:32,079 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:33.893726113Z [err]  2025-11-24 05:12:32,079 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
